delta_power,delta_rel,theta_power,theta_rel,alpha_power,alpha_rel,beta_power,beta_rel,gamma_power,gamma_rel,spectral_entropy,variance,ptp,mean,label,sample_id
4.1334172412935133e-13,0.001480142583303652,1.5527712254014003e-11,0.05560345541419302,1.539518512672089e-10,0.5512888671449878,5.4340689933929376e-11,0.19458952358784512,6.810005630155519e-12,0.0243860678400239,2.2479015623184417,2.868449366921766e-10,7.683649891987443e-05,7.105427357601002e-15,Non-Harmful,epoch_00000
2.1001627104055842e-09,0.41612951830447337,4.2740239906274846e-10,0.08468617862937411,1.3364679588706574e-11,0.0026480984792211964,1.2101152545296312e-10,0.023977412581669064,9.593894428894245e-11,0.019009492205433635,1.5520006145324958,5.904089661612488e-09,0.00034251902252435684,5.968558980384842e-13,Harmful,epoch_00001
1.3123524619448879e-12,0.004226678399709101,1.9080107556846554e-11,0.06145108178875532,1.7385688722004744e-10,0.5599388663961642,5.559347193749911e-11,0.17904925225257765,6.680677658212758e-12,0.021516381286426738,2.2068003922418336,3.04938657658127e-10,8.4448438428808e-05,1.4210854715202004e-14,Non-Harmful,epoch_00002
3.3823036602390055e-13,0.001126941839878776,1.806181766650372e-11,0.060179747525112376,1.7545208341740448e-10,0.5845846900777749,4.8709817863229476e-11,0.1622951020283878,5.418795213972885e-12,0.018054756940213315,2.1322776840204924,3.0055047339772045e-10,7.995436317287385e-05,7.105427357601002e-14,Non-Harmful,epoch_00003
4.719085907635423e-13,0.0016663135971090911,1.6669050688367104e-11,0.05885857209758727,1.6193684587717527e-10,0.5718005000110351,4.956176799259665e-11,0.17500306101486246,4.774910095138932e-12,0.016860251693299227,2.1833038096094826,2.776391894165897e-10,8.844428521115333e-05,-5.684341886080802e-14,Non-Harmful,epoch_00004
6.095471891988391e-13,0.002031449638681844,1.984527288594745e-11,0.06613872256008317,1.6602889202355087e-10,0.5533276810861745,4.8998355720031306e-11,0.16329776231810672,5.817681839742628e-12,0.019388700137957415,2.293346481559987,3.013979898991437e-10,8.98922880878672e-05,5.684341886080802e-14,Non-Harmful,epoch_00005
8.143997629050936e-13,0.002665196101423571,1.9109529171730533e-11,0.06253764424839528,1.6735101499021354e-10,0.5476711721159626,5.873434610849035e-11,0.192213403537365,3.8729143590071624e-12,0.012674458811177408,2.2428401031153973,2.9933144851668203e-10,8.389499271288514e-05,-1.4210854715202004e-14,Non-Harmful,epoch_00006
4.053079486615596e-13,0.001398339896441514,1.8974258037159075e-11,0.06546247638703659,1.662113363609663e-10,0.5734403769822798,4.5549774997828696e-11,0.15714981130701655,5.42761007579079e-12,0.018725622668811063,2.228294214669752,2.805466969846293e-10,9.58500022534281e-05,0.0,Non-Harmful,epoch_00007
1.9920107785509344e-09,0.4110405244612195,4.306190959368905e-10,0.08885589422647286,1.9943518191067877e-11,0.0041152358537043954,1.0889493647081583e-10,0.022469874299925044,8.493367814610409e-11,0.01752559975352683,1.61396388785071,5.725917517906964e-09,0.0003262663958594203,6.252776074688882e-13,Harmful,epoch_00008
3.4746729937751297e-09,0.4393475974688033,8.952127268646581e-10,0.1131932591861441,1.9683279312010526e-11,0.002488810167613397,6.855526086049779e-11,0.008668323380895404,1.419399667246246e-10,0.017947295609395557,1.3521288402920046,9.129484723757741e-09,0.0005067632300779223,-4.547473508864641e-13,Harmful,epoch_00009
1.5180405821269005e-09,0.3920266944108587,4.1011357504450174e-10,0.1059098623914625,2.5755650216729986e-11,0.00665127305274038,9.865391750046859e-11,0.025476900699323488,8.093638086126287e-11,0.020901431898588577,1.8363050088986468,5.2099453640153115e-09,0.00034141133073717356,9.094947017729282e-13,Harmful,epoch_00010
